Id,SalePrice
1,47704.9257812
2,185169.296875
3,122014.40625
4,252586.3125
5,230575.75
6,120209.140625
7,162203.09375
8,120098.679688
9,99385.546875
10,161647.9375
11,154622.234375
12,120760.453125
13,146644.859375
14,205230.234375
15,127051.609375
16,133138.578125
17,179090.75
18,213720.796875
19,247739.34375
20,187510.9375
21,194279.484375
22,474265.53125
23,162344.234375
24,162097.015625
25,202033.578125
26,210303.625
27,312248.53125
28,127257.515625
29,117760.804688
30,126702.523438
31,97061.6875
32,246102.265625
33,263700.125
34,427669.90625
35,138106.25
36,188513.59375
37,109808.101562
38,182780.015625
39,188789.9375
40,172132.96875
41,169424.203125
42,127079.117188
43,157974.4375
44,149143.09375
45,162848.03125
46,232166.65625
47,150357.15625
48,179035.421875
49,143097.203125
50,98403.6484375
51,193825.71875
52,125573.320312
53,198922.578125
54,152630.15625
55,276620.125
56,115463.15625
57,205379.03125
58,143745.109375
59,297070.59375
60,193649.453125
61,236435.515625
62,86191.2890625
63,128500.117188
64,129381.671875
65,116179.351562
66,139083.546875
67,244934.34375
68,96252.9921875
69,109083.625
70,128047.609375
71,156095.109375
72,137873.0625
73,204932.171875
74,144519.0
75,217377.703125
76,147611.1875
77,334832.875
78,142705.125
79,189291.84375
80,145887.0
81,101148.789062
82,133618.765625
83,109396.6875
84,135813.609375
85,163191.9375
86,212649.359375
87,145771.296875
88,229150.203125
89,209006.40625
90,247275.75
91,163757.078125
92,406794.625
93,191038.671875
94,201902.609375
95,197888.703125
96,151337.84375
97,143828.359375
98,120812.523438
99,238183.359375
100,186725.21875
101,117587.085938
102,266291.5
103,179258.375
104,133549.453125
105,312248.53125
106,90387.8046875
107,181458.453125
108,155330.484375
109,183717.59375
110,126793.664062
111,143453.140625
112,167653.4375
113,162729.734375
114,174011.609375
115,135627.34375
116,338727.78125
117,376316.375
118,136393.671875
119,168564.703125
120,131479.828125
121,168291.640625
122,134953.203125
123,157401.46875
124,174652.03125
125,263117.8125
126,84330.375
127,208625.4375
128,198871.359375
129,151342.609375
130,140425.28125
131,174652.03125
132,129345.523438
133,154912.703125
134,168043.21875
135,251326.984375
136,285522.4375
137,157608.015625
138,119696.304688
139,122570.726562
140,184428.90625
141,121328.984375
142,128937.007812
143,151805.03125
144,148582.46875
145,156677.203125
146,218662.03125
147,155779.390625
148,304742.5625
149,220886.640625
150,145407.796875
151,316690.0
152,203050.375
153,144224.484375
154,141304.546875
155,168564.703125
156,296387.75
157,206553.859375
158,318087.5
159,321882.46875
160,116698.492188
161,184596.78125
162,277670.21875
163,202128.59375
164,271939.875
165,108390.601562
166,156991.15625
167,73529.515625
168,225709.65625
169,92081.4765625
170,298910.125
171,64968.7109375
172,94182.5703125
173,140465.734375
174,197429.5
175,181286.0
176,257100.140625
177,134821.59375
178,115119.664062
179,122706.867188
180,123960.101562
181,166738.515625
182,140375.46875
183,57435.8164062
184,220737.546875
185,126564.96875
186,108983.703125
187,162189.484375
188,249938.015625
189,167563.609375
190,184821.375
191,97109.0
192,269778.84375
193,297774.3125
194,228102.328125
195,175752.640625
196,169059.28125
197,131700.828125
198,377148.46875
199,235679.78125
200,194023.78125
201,109861.421875
202,160913.953125
203,163539.203125
204,352267.21875
205,171395.515625
206,264877.6875
207,129558.117188
208,165836.484375
209,148428.65625
210,207411.734375
211,197959.109375
212,138861.03125
213,141086.53125
214,251232.3125
215,172491.375
216,264508.875
217,410100.5
218,252091.296875
219,255911.515625
220,96839.140625
221,139099.34375
222,100586.71875
223,64343.7734375
224,220933.203125
225,154172.109375
226,156116.546875
227,116167.9375
228,118272.679688
229,152525.25
230,329097.71875
231,131543.171875
232,213331.234375
233,139408.765625
234,126429.375
235,153097.109375
236,226151.796875
237,285877.46875
238,155396.40625
239,132699.609375
240,134616.296875
241,158771.609375
242,122541.039062
243,184596.78125
244,186948.65625
245,264396.375
246,97651.265625
247,257584.609375
248,135736.5625
249,119518.359375
250,112560.625
251,223379.59375
252,213820.6875
253,153251.359375
254,97886.984375
255,258779.765625
256,174516.84375
257,214092.484375
258,129105.945312
259,312248.53125
260,127234.945312
261,208964.546875
262,171969.0625
263,142764.609375
264,141086.53125
265,139003.0625
266,145516.140625
267,252500.5625
268,136634.015625
269,114667.679688
270,191107.546875
271,178698.6875
272,140869.53125
273,111371.421875
274,188527.609375
275,167038.84375
276,172428.71875
277,117184.960938
278,342121.375
279,144888.0
280,184596.78125
281,202936.546875
282,145933.609375
283,347764.28125
284,101796.976562
285,188595.59375
286,125205.960938
287,148433.046875
288,269992.21875
289,99674.0078125
290,83519.59375
291,132839.265625
292,261703.375
293,138563.125
294,137110.3125
295,192202.921875
296,173632.828125
297,202276.296875
298,236280.203125
299,133750.203125
300,146393.328125
